,dayname,hour,cluster,Lat,Lon
574,Monday,19,14,40.73098684210526,-73.95739736842106
575,Monday,19,15,40.69136428571428,-73.98561428571429
576,Monday,19,16,40.71716956521739,-73.94487391304348
577,Monday,19,17,40.806121052631575,-73.94017894736842
578,Monday,19,18,40.708622222222225,-73.94836111111111
579,Monday,19,19,40.792291666666664,-73.97202083333333
580,Monday,19,20,40.7676,-73.88701111111112
581,Monday,20,-1,40.734683492296405,-73.94243521643433
582,Monday,20,0,40.80731612903226,-73.96334516129032
583,Monday,20,1,40.74534176165803,-73.98799523316062
584,Monday,20,2,40.64560466321244,-73.78322797927461
585,Monday,20,3,40.716095762711866,-73.95694576271185
586,Monday,20,4,40.70296060606061,-73.9899696969697
587,Monday,20,5,40.77211711026616,-73.86885209125475
588,Monday,20,6,40.68837755102041,-73.99345918367348
589,Monday,20,7,40.68785625,-74.182134375
590,Monday,20,8,40.69362941176471,-74.17788431372549
591,Monday,20,9,40.707905555555556,-73.94367777777778
592,Monday,20,10,40.755722222222225,-73.84510555555556
593,Monday,20,11,40.68477647058824,-73.97762352941176
594,Monday,20,12,40.711,-73.98446428571428
595,Monday,21,-1,40.73460326693227,-73.94696494023904
596,Monday,21,0,40.745172547294324,-73.98877707875056
597,Monday,21,1,40.71528806584362,-73.95698395061729
598,Monday,21,2,40.772524905660376,-73.86952452830188
599,Monday,21,3,40.69396122448979,-74.17779795918366
600,Monday,21,4,40.64561182108626,-73.78256421725239
601,Monday,21,5,40.744805,-73.843425
602,Monday,21,6,40.68787837837838,-74.18187567567568
603,Monday,21,7,40.846685,-73.93814
604,Monday,21,8,40.698460240963854,-73.99102289156626
605,Monday,21,9,40.67662391304348,-73.98271086956522
606,Monday,21,10,40.68397777777778,-73.96681666666667
607,Monday,21,11,40.73191666666667,-73.95763333333333
608,Monday,21,12,40.685981818181816,-73.97668636363636
609,Monday,21,13,40.737161111111114,-74.03055
610,Monday,22,-1,40.727644839857646,-73.94744608540924
611,Monday,22,0,40.74296765957447,-73.98894896890344
612,Monday,22,1,40.76954594594594,-73.8639554054054
613,Monday,22,2,40.64567394957983,-73.78189075630252
614,Monday,22,3,40.702696153846155,-73.99133461538462
615,Monday,22,4,40.68783571428572,-74.18200357142858
616,Monday,22,5,40.77404552845528,-73.87234715447154
617,Monday,22,6,40.71612008368201,-73.95687782426779
618,Monday,22,7,40.64570430107527,-73.78961612903225
619,Monday,22,8,40.693871698113206,-74.17785094339622
620,Monday,22,9,40.68798421052632,-73.96433684210527
621,Monday,22,10,40.78128125,-73.9800625
622,Monday,22,11,40.809444444444445,-74.07297777777778
623,Monday,22,12,40.72955416666667,-73.95767916666667
624,Monday,23,-1,40.73386580976864,-73.9499266066838
625,Monday,23,0,40.74129001210653,-73.99123335351089
626,Monday,23,1,40.68786,-74.18192
627,Monday,23,2,40.71628432835821,-73.95793507462686
628,Monday,23,3,40.64558081180812,-73.78346900369004
629,Monday,23,4,40.77401,-73.872375
630,Monday,23,5,40.77019047619048,-73.86487142857143
631,Monday,23,6,40.695088,-74.177984
632,Saturday,0,-1,40.732833515358365,-73.94320402730375
633,Saturday,0,0,40.73508382320923,-73.99413881994339
634,Saturday,0,1,40.71643691148776,-73.95495122410547
635,Saturday,0,2,40.7383593220339,-74.03058983050848
636,Saturday,0,3,40.683639393939394,-73.97695757575757
637,Saturday,0,4,40.77702807017543,-73.95162280701754
638,Saturday,0,5,40.78546486486486,-73.97701081081081
639,Saturday,0,6,40.70547391304348,-73.93252608695653
640,Saturday,0,7,40.67253043478261,-73.9572347826087
641,Saturday,0,8,40.7054243902439,-73.92340731707317
642,Saturday,0,9,40.67658888888889,-73.95954444444445
643,Saturday,0,10,40.773177777777775,-73.97871666666667
644,Saturday,0,11,40.6755,-73.96421818181818
645,Saturday,1,-1,40.729430216903516,-73.95457883320869
646,Saturday,1,0,40.73336,-73.99506453874538
647,Saturday,1,1,40.715622910216716,-73.958020123839
648,Saturday,1,2,40.76409841269841,-73.99672222222222
649,Saturday,1,3,40.707047826086956,-73.92240000000001
